node_1,node_2,edge
Airfoil geometry,Thickness ratio,Airfoil geometry also includes thickness ratio	 which is the maximum thickness of the airfoil divided by the chord length.
wing design,angle of zero lift,The angle of zero lift is an important characteristic to consider in wing design.
wing design,lift-curve slope,The lift-curve slope is another important characteristic to consider in wing design.
wing design,sweep,Wings with large amounts of sweep require special consideration in their design.
Performance,Airfoil,An airfoil's design and parameters significantly affect its performance	 including lift	 drag	 and stability.
Performance,Lift,Airfoil performance is largely influenced by its ability to generate lift
Performance,Drag,Airfoil performance also depends on drag	 with lower drag being more desirable
Performance,Airfoil camber,Affects the performance of an airfoil when compared to an existing design with similar constraints
Performance,BezierGA,BezierGA was generally more effective than the ProfoilGA cases fixed-3 and seq-3 in terms of minimizing drag.
Performance,Camber location,The location of camber affects the overall performance of an airfoil.
section angle of attack,NACA TN 2998,NACA TN 2998 provides section angle of attack	 deg
section angle of attack,angle of zero lift,Angle of zero lift is when there's no change in section angle of attack
section angle of attack,airfoil section,An airfoil section has a section angle of attack	 denoted as Î±.
Separation Bubble,Airfoil,The movement of separation bubbles along the airfoil is influenced by pressure changes.
Separation Bubble,Laminar Boundary Layer,A laminar boundary layer may separate and form a separation bubble before transitioning to turbulent flow.
Camber location,Airfoil,The location of camber influences the airfoil's performance
Camber location,Stall,The position of camber along the chord greatly influences stall behavior and can affect the airfoil's stall characteristics.
Camber location,Airfoil optimization problem,Problem involves finding optimal camber location
Camber location,Airfoil design,The location of the camber line affects the aerodynamic characteristics of the airfoil. A forward camber line may result in better low-speed performance.
Camber location,Airfoil characteristics,The location of camber along the chord affects the airfoil's pressure distribution and lift coefficient.
Camber location,Airfoil performance,The location of the camber line affects the performance of the airfoil in terms of lift and drag.
Camber location,Moment coefficient,Moving camber towards the trailing edge increases moment coefficient	 affecting stability.
Camber location,Mean line,The camber location on an airfoil can be defined based on the mean line.
airfoil stability margin,sweep,While sweep tends to favorably alter the moment response near peak incidence	 it may reduce the overall stability margin of the airfoil due to changes in unsteady moment response.
airfoil stability margin,sweep angle,Sweeping reduces nose down impulsive moment due to dynamic stall but intensifies relative importance of central portion of clockwise-traversed subloop
camber location,camber,Camber can be placed at different locations along the chord	 affecting lift distribution and performance.
camber location,NACA TN 3797,The camber line for NACA TN 3797 reaches its maximum value at x/c = 0.5
camber location,maximum lift coefficients,Moving the position of maximum camber to 40 and 50 percent chord reduces maximum lift coefficients.
camber location,lift coefficient,The NACA four-digit airfoil system classifies airfoils based on their camber location	 which affects the lift coefficient they generate.
camber location,lift,Moving the camber location towards the leading edge increases lift
camber location,upper surface,Camber location is often referenced in relation to the upper surface of the airfoil.
camber location,Airfoil,The camber of an airfoil is located at a specific position relative to the chord line.
Euler equations,pressure distribution,An inviscid flow solver solves the Euler equations to calculate the pressure distribution at each geometry correction step.
Euler equations,Navier-Stokes equations,The solution of Euler equations led to the focus on Navier-Stokes equations
NACA 2412 airfoil,Upper surface,The upper surface of NACA 2412 airfoil has a pressure coefficient S
NACA 2412 airfoil,Lower surface,The lower surface of NACA 2412 airfoil has a pressure coefficient S
Chord Length,Maximum Thickness Location,For a NACA four-digit wing section	 the maximum thickness is positioned about 0.3 of the chord length from the leading edge.
Chord Length,Airfoil Thickness,The airfoil thickness is expressed as a percentage of the chord length.
Chord Length,Airfoil,An airfoil has a chord length	 which is the distance between the leading edge and trailing edge.
Chord Length,Airfoil Section,Airfoil section has a chord length (e.g.	 24 inches)
Chord Length,Aerodynamic Characteristics,The chord length of an airfoil affects its aerodynamic characteristics	 such as lift and drag coefficients.
CFD,Airfoil,CFD is one of the numerical methods of choice in the simulation and design of many aerospace components	 including airfoils.
CFD,wind tunnel,CFD has been used extensively to investigate transonic wall interference in wind tunnels.
CFD,High-lift analysis tools,To be effective	 these tools need to be functional in all areas of design including CFD.
Angle of Attack (AoA),Lift,The angle of attack affects the lift generated by an airfoil. As AoA increases	 lift also increases until stall occurs.
Angle of Attack (AoA),Airfoil,Airfoil has an Angle of Attack	 which affects Pressure Distribution and causes some lift in potential flow
Angle of Attack (AoA),Drag,Higher AoA increases drag due to induced drag and viscous friction
Angle of Attack (AoA),Airfoil Section,The angle of attack for an infinite aspect ratio airfoil is a significant parameter.
Angle of Attack (AoA),Pitching-Moment Coefficient,The pitching-moment coefficient varies with angle of attack	 typically increasing linearly up to the stall angle.
Trailing Edge,Airfoil,The trailing edge of an airfoil causes large drag increases due to separation from the surface.
Trailing Edge,Reynolds Stress,Reynolds stress components are more pronounced close to the trailing edge
Pitching-Moment Coefficient,Airfoil,The pitching-moment coefficient is a measure of the moment generated by the aerodynamic forces acting on the airfoil about its center of pressure.
type of camber,ailerons,The use of a type of camber that imposes heavy loads on the ailerons complicates the design of the lateral-control system and increases its weight. Conversely	 using a type of camber that carries the lift farther forward relieves the ailerons.
NACA 64-010,NACA 0010-34,The lift coefficient of NACA 0010-34 is about 35 percent lower than that of NACA 64-010 in smooth condition
airfoil shapes,design variables,The method uses 21 design variables representing the control points of a B-spline to optimize airfoil shapes
angle of incidence,Airfoil,The angle of incidence is a parameter related to the airfoil
angle of incidence,flow separation,As the angle of incidence increases	 flow separation events are postponed to successively higher angles.
experimental results,maximum lift coefficient,In instances where the maximum lift coefficient could be determined	 analytical results were carried to the known maximum lift coefficient.
surface roughness,laminar flow,Surface roughness affects laminar flow	 especially at high Reynolds numbers
surface roughness,lateral stability and control,Effect of surface roughness on lateral stability and control
pitching moment,Airfoil,The pitching moment follows the trend established by the normal force with regard to stall delay and cyclic extremes in airfoils.
pitching moment,end plate,...and higher negative pitching moment.
pitching moment,maximum lift,Changes that produce higher values of maximum lift usually incur higher penalties in terms of pitching moment.
Airfoil design,NACA,NACA is a methodology used in airfoil design.
Airfoil design,Manufacturability,Airfoil design considerations include manufacturability
Airfoil design,NACA four-digit wing-sections,NACA four-digit wing-sections are a type of airfoil design.
Airfoil design,Optimizer,The optimizer improves airfoil design
Airfoil design,Numerical optimization methods,Airfoil design often uses numerical optimization methods
Airfoil design,Bezier curves,Bezier curves are also commonly employed in the design of airfoils.
Airfoil design,NACA RM No. L7I22,The NACA RM No. L7I22 is a specific example of an airfoil design.
Airfoil design,Washout,Airfoil design involves geometric washout	 which is the angle between the root and tip chords in terms of positive degrees for washout and negative degrees for anhedral.
Airfoil design,NACA 23015.6,NACA 23015.6 is a design for an airfoil
Extensive laminar flow,Airfoil sections,Airfoil sections with extensive laminar flow can result in substantial reductions in drag at high speeds and cruising lift coefficients.
NACA TN 2998,section lift coefficient,NACA TN 2998 provides section lift coefficient
NACA TN 2998,Reynolds number,NACA TN 2998 relates to Reynolds number
NACA TN 2998,Lift,The document NACA TN 2998 discusses the effects of camber on lift and its variation with Mach number
NACA TN 2998,Drag,The document NACA TN 2998 discusses the effects of camber on drag and its divergence Mach numbers
NACA TN 2998,Airfoil,NACA TN 2998 is a specific type of airfoil
NACA TN 2998,Airfoil section,NACA TN 2998 is a type of airfoil section.
Neural Network Optimization Procedure,CPU time,The major contributor to CPU time in this procedure is training neural networks to learn and predict airfoil aerodynamics.
physical parameterization,airplane component,An airplane component can be specified by tens of physical parameters instead of hundreds or thousands	 which lacks generality needed for high-level design and optimization analysis.
Upper Surface,Lower Surface,Upper surface stations and ordinates correspond to the lower surface
Upper Surface,Airfoil,An airfoil has an upper surface.
Upper Surface,X/C,The upper surface has a chord distribution (X/C).
Upper Surface,Cp,The upper surface has a pressure coefficient (Cp).
Upper Surface,x/c,The upper surface of an airfoil is defined at various x/c coordinates
Upper Surface,NACA 64-006,The upper surface of an airfoil is defined using the NACA 64-006 formula.
Upper Surface,NACA 65-012,NACA 65-012 has an upper surface with thickness distribution
neural network,optimizer,The trained neural networks are integrated with an optimizer to capture and search the high-lift design space.
design parameters,maximum ordinate of mean line (M),Maximum ordinate of mean line is part of the design parameters.
design parameters,chordwise position of maximum ordinate (C%),Chordwise position of maximum ordinate is included in the design parameters.
design parameters,computational cost,High values of design parameters increase computational cost.
design parameters,Airfoil,Design parameters determine the shape of an airfoil
design parameters,grid sensitivity,Grid sensitivity is dependent on design parameters like camber	 thickness	 etc.
NACA 4412 airfoil,Aerodynamic characteristics,The NACA 4412 airfoil has specific aerodynamic characteristics	 including lift and drag coefficients.
NACA 4412 airfoil,angles of attack,Coefficient and drag polar vary with angles of attack
mean line,thickness distribution,A mean line and a thickness distribution define a NACA four-digit wing section.
mean line,NACA 4-digit series,Mean lines for the NACA 4-digit series are provided in figures
mean line,lift coefficient,The lift coefficient above the design lift coefficient for the mean line increases with increasing airfoil thickness.
mean line,airfoil performance,The uniform-load mean line is favorable for obtaining low drag coefficients at high lift coefficients.
mean line,camber,Camber is achieved through the mean line of the airfoil.
mean line,velocity distribution,The velocity increments caused by the mean line combined with the velocity distribution for the basic thickness form explain the increase in lift coefficient above the design lift coefficient
velocity distribution,angle of attack,An additional component of velocity distribution is associated with the angle of attack
velocity distribution,airfoil geometry,An airfoil geometry is generated from the velocity distribution
velocity distribution,PROFOIL,PROFOIL determines the airfoil shape from a prescribed velocity distribution
NACA 0012,symmetrical airfoil,first test case considered is the NACA 0012 symmetrical airfoil
NACA 0012,Airfoil,NACA 0012 is a type of airfoil
NACA 0012,Protuberances,Protuberances are placed on the NACA 0012 airfoil.
NACA 0012,Airfoil coordinates,Airfoil coordinates of NACA 0012 are presented in Table I.
NACA 0012,Split flap,NACA 0012 has a split flap which can be deflected
NACA 0012,Lift coefficient (CL),NACA 0012 airfoil has a lift coefficient (CL) that varies with angle of attack
NACA 0012,RAE 2822,These are specific types of airfoils used in design cases.
NACA 0012,NACA 4412,Both are airfoil profiles mentioned in the context	 with NACA 4412 being re-designed
NACA 0012,Airfoil shape,The NACA 0012 is a specific airfoil shape
NACA 0012,CST,NACA 0012 airfoil can be accurately described using CST with only two design variables
NACA 0012,Critical Mach number,Similar to other NACA airfoils	 the critical Mach number varies with the low-speed section lift coefficient for NACA 0012.
NACA 0012,Airfoil Section,NACA 0012 is a type of airfoil section.
Boundary Layer,Airfoil,Flight experiments have been conducted on boundary layers related to airfoils	 as mentioned in the Journal of Aeronautical Sciences.
hybrid-GA,mhybrid,The parameter mhybrid is created to facilitate the methods of choosing individuals in hybrid-GA
Normal-force coefficient,Airfoil,Incremental normal-force coefficients are plotted for the airfoil
Normal-force coefficient,Load distribution,Integration of this load distribution along the chord results in a normal-force coefficient...
hydrofoil,lift characteristics,The change in flow causes the lift characteristics to be different below and above a limiting speed.
hydrofoil,lift,The lift characteristics of hydrofoils are discussed.
hydrofoil,drag,The drag characteristics of hydrofoils are analyzed.
hydrofoil,vortex,A horseshoe vortex arrangement satisfactorily approximates the tank boundary condition for hydrofoils.
Angle of Attack,Airfoil,An airfoil has an angle of attack	 which is the angle between its chord line and the direction of airflow.
Angle of Attack,Chord,The chord length influences the effective angle of attack for an airfoil.
Angle of Attack,Lift,The angle of attack affects the lift generated by an airfoil.
Angle of Attack,CL,The coefficient of lift (CL) varies with the angle of attack.
Angle of Attack,Force Measurements,The force measurements were made at constant speed	 angle of attack
Angle of Attack,Design Variables,The design variables include angle of attack
Angle of Attack,Lift Coefficient,The angle of attack affects the lift coefficient	 which in turn affects the lift generated by an airfoil.
Angle of Attack,Laminar Boundary Layer Separation,An increase in Angle of Attack can cause laminar boundary layer separation near the nose of an airfoil.
CST,precision,CST has high precision (below 0.0004) for simple airfoils like NACA 0012 when matching order is just 1
end plate,lift,The addition of end plates to the basic airfoil yields even higher values of lift.
end plate,drag,However	 this addition comes at the expense of higher drag.
Mach number (M),Angle of attack (Î±),Changes in Mach number and angle of attack affect the airfoil's pressure coefficient.
Mach number (M),Airfoil section,An airfoil section has an associated Mach number	 in this case	 the Mach number ranges from 0.775 to 0.90.
Mach number (M),Airfoil,The performance of an airfoil varies with the Mach number (M)	 which is the ratio of its velocity to the speed of sound.
Mach number (M),Angle of zero lift,The angle changes from a negative low-speed value to slightly positive as Mach number increases
NACA 0018,Airfoil,NACA 0018 is a type of airfoil
NACA 0018,Basic Thickness Form,The NACA 0018 has a Basic Thickness Form
NACA 0018,Manufacturability,The manufacturability of an airfoil like NACA 0018 can be inferred from its thickness and camber
smooth airfoil,lift coefficient (C_L),The lift was measured for each smooth airfoil section.
Measurement,Lift,Measurements of lift and drag were made by means of electrical strain gages.
Measurement,Drag,Measurements of lift and drag were made by means of electrical strain gages.
attachment line transition,sweep angle,Sweep angle affects attachment line transition on swept wings.
attachment line transition,Reynolds number,Reynolds number affects attachment line transition on swept wings.
attachment line transition,airfoil design,Attachment line transition is highly important and needs special attention in the design of laminar airfoils for swept wings.
attachment line transition,Reynolds numbers,forced by large Reynolds numbers
Grid sensitivity,Design parameters,Obtaining the sensitivity of grid with respect to design parameters is one of the basic components in obtaining aerodynamic sensitivity.
Grid sensitivity,NACA 0012 airfoil,The first test case considered for grid sensitivity is the NACA 0012 symmetrical airfoil.
Drag coefficient (Cd),Airfoil,An airfoil has a drag coefficient which represents its resistance to motion.
Drag coefficient (Cd),Reynolds number (Re),Airfoil drag varies with Reynolds number
Drag coefficient (Cd),Airfoil section characteristics,Airfoil section characteristics include drag coefficient which also varies with changes in Reynolds Number
Drag coefficient (Cd),Airfoil thickness,Thicker airfoils generally have higher drag coefficients due to increased skin friction and pressure drag.
Angle of zero lift alo,Reynolds Number R,The cambered airfoils show a small decrease in the absolute value of the angle with increasing R above the value at which the variations are abnormal.
ProfoilGA,airfoil performance,It can greatly influence and control
ProfoilGA,design variables,The design variables used in its optimization process can be assigned for iteration by Newton scheme or GA
ProfoilGA,XFOIL,XFOIL is the 'bottleneck' of the ProfoilGA process
ProfoilGA,Genetic Algorithm (GA),ProfoilGA is an enhancement of GA
ProfoilGA,Design variables,Only five design variables were necessary to achieve solutions using ProfoilGA
ProfoilGA,BezierGA,Both ProfoilGA and BezierGA have potential to improve upon existing airfoils
ProfoilGA,Airfoil,ProfoilGA produces airfoils
ProfoilGA,mhybrid,optimal hybrid operators for ProfoilGA are mhybrid = 2
ProfoilGA,Airfoil optimization,ProfoilGA was tuned to find an airfoil that outperforms current state-of-the-art designs.
ProfoilGA,(L/D) ratio,ProfoilGA-generated airfoil has an L/D that is about 1% greater than that of the SG6042
ProfoilGA,Drag reduction,ProfoilGA was used to find an airfoil with a 14% reduction in drag from the comparison E168 airfoil at Cl = 0.92 and Re = 300	000
Protuberances,Transition,Small protuberances extending above the general surface level are more likely to cause transition than small depressions.
Protuberances,NACA 6-series sections,Wind-tunnel experience shows that small protuberances extending above the surface level can cause transition in NACA 6-series airfoils.
Load distribution,Mean line,The load distribution on an airfoil is influenced by its mean line
NACA 4415,Airfoil,The airfoil in this context is the NACA 4415.
NACA 4415,Angle of attack,The NACA 4415 airfoil has an angle of attack	 which ranges from -19 degrees to 80 degrees.
NACA 4415,Lift coefficient (CL),The NACA 4415 airfoil has a lift coefficient (CL) that varies with angle of attack	 ranging from -0.19 to 0.86.
NACA 4415,NACA 4409,Both are part of NACA's 4-digit series and have similar performance characteristics
location of maximum camber,stall,The location of maximum camber affects the type of stall: a sudden drop in lift occurs if it's too close to the leading edge	 while a more gradual stall is obtained when it's further back.
location of maximum camber,leading edge,The second integer indicates the distance from the leading edge to the location of the maximum camber in tenths of the chord.
location of maximum camber,camber,Camber has a specific location where it is maximum
Computational fluid dynamics (CFD),Airfoil,The investigation uses CFD to evaluate pressure distribution on the airfoil.
aerodynamic forces,neural networks,Neural networks can be successfully trained to predict aerodynamic forces with sufficient accuracy for design and modeling.
aerodynamic forces,airfoil design,Aerodynamic forces are outputs of the airfoil design process.
NACA 652-215,Airfoil,NACA 652-215 is a specific type of airfoil	 designed with an camber (a) of 0.5
NACA 652-215,moment coefficient,For NACA 652-215	 the theoretical moment coefficient about the quarter-chord point can be calculated using the design lift coefficient
NACA Airfoils,Aerodynamic Characteristics,Recent information on aerodynamic characteristics of NACA airfoils is presented.
NACA Airfoils,Airfoil Thickness,The last two integers in the NACA five-digit series indicate the airfoil thickness in percent of the chord.
neural networks,inputs,Neural networks require inputs to predict aerodynamic coefficients.
AIRFOIL UPPER SURFACE,X/C,The Airfoil Upper Surface has coordinates represented by X/C
AIRFOIL UPPER SURFACE,Cp,The Pressure Coefficient (Cp) is defined on the Airfoil Upper Surface
Transition location,Drag coefficient,The drag coefficient can be calculated with reasonable accuracy if the transition location is known or assumed.
Airfoil Design,Multi-objective Optimization,Airfoil design can be optimized using multi-objective methods.
Airfoil Design,NACA,NACA is an organization known for its work in airfoil design.
Airfoil Design,Lift,Designing airfoils involves optimizing lift-to-drag ratio for efficient flight
Airfoil Design,Manufacturability,The manufacturability of an airfoil design can affect its final performance	 as manufacturing tolerances may deviate from the original design.
models,wind tunnels,In these wind tunnels	 the models completely span the comparatively narrow test sections; thus providing two-dimensional flow.
models,Airfoil,Seven required for each to determine pressure distribution satisfactorily
turbulent boundary layer,laminar boundary layer,Turbulent boundary layers are more resistant to separation than laminar ones due to increased momentum interchange.
turbulent boundary layer,separation,Separation of the turbulent boundary layer over the rear of the section limited the extent of laminar flow.
Airfoil Section,Thickness Ratio,The thickness ratio is a parameter that characterizes an airfoil section
Airfoil Section,NACA 0010-35,The NACA 0010-35 is an airfoil section
Airfoil Section,NACA 0006,NACA 0006 is a type of airfoil section.
Airfoil Section,NACA 0009,NACA 0009 is a type of airfoil section.
Airfoil Section,NACA 1412,NACA 1412 is a type of airfoil section with varying thickness.
Airfoil Section,Cl,Each section of an airfoil has its own lift coefficient (Cl).
Airfoil Section,Lift Coefficient,The airfoil section has a specific lift coefficient (Cl) at a given angle of attack.
Aileron,Flap,Ailerons can be designed as flaps to control the airflow over an airfoil
Aileron,Airfoil,An airfoil contour can be used to design an aileron
laminar flow,airfoil design,Airfoil design aims to increase the relative extent of laminar flow by having favorable pressure gradients over a greater proportion of the chord.
laminar flow,Reynolds number (Re),At high Reynolds numbers	 maintaining laminar flow is critical to minimize skin friction drag and optimize performance.
laminar flow,transition,Type of flow that occurs before transition
chord,maximum camber,Maximum camber is located at 15 percent of the chord
chord,NACA ACE Eo. L5C0'5,Transition occurs from 5 to 10 percent of the chord length from the leading edge for NACA ACE Eo. L5C0'5.
chord,Airfoil,The chord is the straight line joining the leading edge and trailing edge of an airfoil	 influencing its lift and drag characteristics.
chord,pressure,Pressure varies along the chord length.
chord,airfoil thickness,The last two integers indicate the airfoil thickness in percent of the chord.
chord,thickness ratio,Thickness ratio is a fraction of the chord length.
chord,upper surface,The upper surface of an airfoil is defined along the chord line
chord,lower surface,The lower surface of an airfoil is also defined along the chord line
chord,airfoil section,An airfoil section has a chord length of 24 inches.
NACA 66(215)-216,Airfoil,The Tip section of the Airfoil is NACA 66(215)-216.
NACA 66(215)-216,airfoil thickness,The NACA 66(215)-216 airfoil has a thickness ratio of approximately 0.100.
Airfoil Thickness,Drag,Thicker airfoils have higher drag due to increased skin friction and pressure drag.
Airfoil Thickness,Manufacturability,The thickness of an airfoil can affect its manufacturability	 with thinner profiles being more challenging to construct.
Airfoil Thickness,Drag Coefficient,Airfoil thickness contributes to drag coefficient
Airfoil Thickness,Maximum Lift Coefficient,Reducing thickness near leading edge decreases maximum lift coefficient.
front-loaded pressure distribution,transition location,The front-loaded pressure distribution causes the transition location to move rapidly upstream.
Airfoil thickness ratio,Critical lift coefficient,The critical lift coefficient decreases with increasing airfoil thickness ratio.
Airfoil thickness ratio,Manufacturability,A thinner airfoil is generally easier to manufacture but may have lower structural integrity compared to a thicker one.
Airfoil thickness ratio,Lift curve slope,The lift curve slope decreases with increasing airfoil thickness ratio due to the opposite effect of increasing trailing edge angle.
Airfoil thickness ratio,NACA 4-digit series,The NACA 4-digit series airfoils have varying airfoil thickness ratios along the chord.
Airfoil thickness ratio,Airfoil sections,Airfoil thickness ratio is a characteristic of airfoil sections.
Airfoil thickness ratio,Maximum lift coefficient,The maximum lift coefficient is least sensitive to variations in the position of minimum pressure on the basic thickness form for airfoils with a thickness ratio of 12 percent or less.
Airfoil thickness ratio,Quarter-chord pitching-moment coefficient,The quarter-chord pitching-moment coefficient becomes less negative with increasing airfoil thickness.
Transition region,Reynolds number,As the Reynolds number increases	 the transition region moves closer to the separation point.
Additional load distribution,Angle of attack,Changing the angle of attack results in additional load distribution	 independent of airfoil geometry according to thin-airfoil theory.
Additional load distribution,Airfoil shape,The additional load distribution is neither completely independent of nor exactly a linear function of the airfoil shape.
Additional load distribution,Lift coefficient,The additional load distribution is not exactly a linear function of the lift coefficient.
Chord,Airfoil,An airfoil has a specific chord length.
Chord,Ordinates,Ordinates are defined as fractions of the chord in airfoil design.
Chord,NACA Airfoil,The chord length is a key characteristic of NACA airfoils.
Chord,NACA 0010-35,The NACA 0010-35 has a chord length of 24 inches
Chord,Flap,A flap has a chord length.
Chord,Section lift coefficient,The section lift coefficient (c_l) is often provided for different chord lengths.
Chord,Section angle of attack,The chord length is used to calculate the section angle of attack	 which is an important parameter in airfoil analysis.
Drag reduction,Airfoil,Carefully designed airfoils can reduce drag by extending laminar flow on wings and empennages.
Drag reduction,Laminar flow,Smoothing wing surfaces can reduce drag coefficients even without extensive laminar flow
stability derivatives,directional stability,The directional stability derivative	 Cl_beta (C_n_g)	 is one of two most important stability derivatives related to the lateral-directional stability of an aircraft.
stability derivatives,Reynolds number,Effects of Reynolds number on stability derivatives
stability derivatives,Mach number,Effects of Mach number on stability derivatives
Local search,Design variables,Local search operates directly on the real number values of design variables.
class function,CST method,The CST method uses a general class function to define the basic profile and shape function.
Drag coefficients,NACA 4-digit data bank,The NACA 4-digit data bank provides drag coefficients about the airfoil quarter chord or leading edge.
Drag coefficients,Position of maximum thickness,Varying the position of the maximum thickness caused the drag coefficients to be reduced
Transition,NACA-0012-64 airfoil,The transition of flow over the NACA-0012-64 airfoil is earlier at every stage in the whole development process
Transition,Reynolds Number,Transition occurs in the vicinity of small roughness elements or surface irregularities near the model leading to a certain range of Reynolds number
Transition,Drag coefficient,The drag coefficient departs from regularity at Reynolds Numbers below a certain critical value due to transition effects
Transition,Leading edge,Transition moves closer to the leading edge
Transition,Airfoil,Fixing the transition on an airfoil model can affect its lift characteristics	 including decreasing the lift-curve slope and potentially increasing or decreasing the maximum lift coefficient.
Turbulent flow,Flow separation,Turbulent flow can occur downstream from a separation point on an airfoil.
Tabs,Chord length,The three tabs have chords of 10	20	 and 30 percent of the flap chord
Tabs,Flaps,Flaps have tabs.
Airfoil shape,NACA ACR No. L5C05,NACA ACR No. L5C05 is a specific airfoil shape.
Airfoil shape,Shock strength,The change in airfoil shape successfully reduced the shock strength
Airfoil shape,Design variables,Design variables such as camber	 thickness ratio	 and location of maximum camber define the shape of an airfoil.
Airfoil shape,Manufacturability,A method that differs slightly from the specified shape may affect manufacturability
Airfoil shape,NACA RM No. L7I22,The NACA RM No. L7I22 represents an airfoil shape
Airfoil shape,Lift coefficient (C_L),The lift coefficient is a function of the airfoil shape
Airfoil shape,Drag coefficient (C_D),The drag coefficient is a function of the airfoil shape
Airfoil shape,Aerodynamic characteristics,The shapes of airfoils have a pronounced effect on their aerodynamic characteristics	 causing them to behave differently in the same flow fields.
Airfoil shape,Lift characteristics,The shape of an airfoil affects its lift characteristics
Airfoil shape,Drag,Airfoil shape affects drag coefficient	 with lower values indicating better performance.
Airfoil shape,Chord length,The chord length varies along the spanwise direction of the airfoil	 starting from 1 and ending at 100.
Airfoil shape,Y-coordinate,The y-coordinates of the airfoil points are given for different spans (0.89	0.7	 and 1.10) at various chord lengths.
Airfoil shape,NACA 23012,NACA 23012 is an example of an airfoil shape.
Airfoil shape,NACA 23015,NACA 23015 is another example of an airfoil shape.
NACA 23015,Airfoil,The NACA 23015 is another type of airfoil.
NACA 23015,split flap,The NACA 23015 airfoil has a split flap.
Airfoil chord,% of the chord,The thickness ratio	 position of maximum thickness	 leading-edge-radius index	 and trailing-edge-angle index are all expressed as percentages of the airfoil chord.
Airfoil chord,NACA 654-221,NACA 654-221 airfoil stations and ordinates are given in percent of the airfoil chord
Bezier curves,CST method,The CST method is based on Bezier curves with an added class function.
Bezier curves,Airfoil contour,The airfoil contour is defined by Bezier curves.
Bezier curves,design variables,Bezier curves are used to model the airfoil geometry	 with coordinates of Bezier points being design variables
Stations,Airfoil section,Stations are points along the chord line that help define the shape of an airfoil section.
Stations,Ordinates,Stations and ordinates define the shape of an airfoil
NACA 64-006,Basic Thickness Form,NACA 64-006 is a type of basic thickness form used in airfoil design.
NACA 64-006,Percent Chord,Percent chord is a parameter used in the NACA 64-006 basic thickness form.
NACA 64-006,Lower Surface,The lower surface of an airfoil is defined using the NACA 64-006 formula.
Pitching-moment coefficient,Airfoil camber,Increasing the amount of camber causes an almost uniform negative increase in the pitching-moment coefficient.
Pitching-moment coefficient,Airfoil,The pitching-moment coefficients of the airfoil are affected by the stall of the flap.
Lift coefficient (CL),Angle of attack,Angle of attack affects lift coefficient
Lift coefficient (CL),Aspect ratio,The lift coefficient (CL) varies with changes in the aspect ratio of an airfoil.
Lift coefficient (CL),NACA 23021,The lift coefficient for NACA 23021 with deflected split flap is shown in Figure 20
Lift coefficient (CL),Airfoil,Airfoil has a lift coefficient (CL) which measures its ability to generate lift.
Ordinate,Airfoil,The ordinates determine the shape of the airfoil curve.
Ordinate,Station,Each station has an associated ordinate which defines the airfoil's shape at that station
Ordinate,Upper surface,Ordinates represent the upper surface's coordinates at each station
Ordinate,Lower surface,Ordinates also represent the lower surface's coordinates at each station
NACA four-digit series,Mean line,The lift-curve slopes for NACA four-digit series airfoils with uniform mean-line loading are approximately 0.7 times the value given by thin-airfoil theory.
NACA four-digit series,airfoil geometry,The numbering system for NACA airfoils is based on the airfoil geometry.
airfoil performance,camber,High camber in an airfoil can reach high local Reynolds numbers at laminar separation points
airfoil performance,Reynolds number (Re),Airfoil performance characteristics	 such as lift and drag coefficients	 depend on the Reynolds number.
airfoil performance,Mach number,The Mach number can influence airfoil performance	 as shown by curves for different Mach numbers (M = 0.29)
Maximum thickness,Thickness ratio (t/c),The thickness ratio is the maximum thickness of an airfoil divided by its chord length	 which directly affects manufacturability.
Maximum thickness,Lift coefficient,The values of maximum section lift coefficients (C_L = 0.6) for the modified NACA four-digit-series airfoils as a function of airfoil thickness ratio	 with comparison to those from reference 4 for NACA 64-series low-drag airfoils.
Maximum thickness,Position of maximum thickness,The position of the maximum thickness is varied between 40 and 70 percent chord
Maximum thickness,NACA RM No. L7I22,The NACA RM No. L7I22 has a maximum thickness of 0.19 at approximately X/C = 40%.
Maximum thickness,Manufacturability,The maximum thickness can impact the manufacturability of an airfoil.
airfoil thickness,NAC A 65	3-218,'218' indicates the airfoil thickness is 21.8% of the chord length.
airfoil thickness,lift coefficient,Increasing airfoil thickness shifts the center of the low-drag range to higher lift coefficients
airfoil thickness,lift,The ratio of airfoil thickness to chord length (thickness/chord) usually starts from the leading edge	 but sudden drops in lift occur. A more desirable gradual stall is obtained when the location of maximum camber is further back.
airfoil thickness,angle of attack,The thickness of airfoil increases with increasing angle of attack.
airfoil thickness,trailing edge,The boundary-layer thickness increases toward the trailing edge of the airfoil due to the cumulative effect of slowly moving air.
airfoil thickness,drag coefficient,The minimum drag coefficients of the series of airfoils with NACA MUM thicknesses at 40 percent chord and normal-size leading-edge radii were lower than those of the corresponding NACA 64-series sections.
airfoil thickness,maximum lift,The transonic lift coefficients of the 10-percent-thick airfoils were about 35 percent lower than those of corresponding NACA 64-series sections.
turbulence,leading edge,Turbulence shed near the leading edge of a stalled airfoil is nonuniform in its spanwise properties.
turbulence,stall,A period of turbulence prior to separation is evident over a portion of the surface	 amplifying the hot-wire response to pre-stall turbulence.
NACA 23012 airfoil,Maximum lift coefficient,The NACA 23012 airfoil achieves a maximum lift coefficient of approximately 2.5 when the flap is deflected.
NACA 23012 airfoil,Leading-edge radius,For the NACA 23012 airfoil	 an increase in leading-edge radius had little influence on drag divergence
